LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,LFPR,25_64,PC_AGE,A,1967,76.9800833719314,
FIN,LFPR,25_64,PC_AGE,A,1968,76.3048498845266,
FIN,LFPR,25_64,PC_AGE,A,1969,75.4612546125461,
FIN,LFPR,25_64,PC_AGE,A,1970,76.757005052825,
FIN,LFPR,25_64,PC_AGE,A,1971,76.9265639165911,
FIN,LFPR,25_64,PC_AGE,A,1972,76.7721801159162,
FIN,LFPR,25_64,PC_AGE,A,1973,77.7777777777778,
FIN,LFPR,25_64,PC_AGE,A,1974,79.0357296599225,
FIN,LFPR,25_64,PC_AGE,A,1975,79.048023799405,
FIN,LFPR,25_64,PC_AGE,A,1976,77.9831932773109,
FIN,LFPR,25_64,PC_AGE,A,1977,78.5,
FIN,LFPR,25_64,PC_AGE,A,1978,78.5478547854786,
FIN,LFPR,25_64,PC_AGE,A,1979,79.3949304987735,
FIN,LFPR,25_64,PC_AGE,A,1980,80.3318494536625,
FIN,LFPR,25_64,PC_AGE,A,1981,80.8,
FIN,LFPR,25_64,PC_AGE,A,1982,81.8829113924051,
FIN,LFPR,25_64,PC_AGE,A,1983,82.1848081440877,
FIN,LFPR,25_64,PC_AGE,A,1984,81.9132455460883,
FIN,LFPR,25_64,PC_AGE,A,1985,82.1250479478328,
FIN,LFPR,25_64,PC_AGE,A,1986,81.6799695933105,
FIN,LFPR,25_64,PC_AGE,A,1987,81.0117025292563,
FIN,LFPR,25_64,PC_AGE,A,1988,80.7576894223556,
FIN,LFPR,25_64,PC_AGE,A,1989,81.4317673378076,
FIN,LFPR,25_64,PC_AGE,A,1990,81.0880829015544,
FIN,LFPR,25_64,PC_AGE,A,1991,80.0293685756241,
FIN,LFPR,25_64,PC_AGE,A,1992,79.2638483965014,
FIN,LFPR,25_64,PC_AGE,A,1993,78.8329104748097,
FIN,LFPR,25_64,PC_AGE,A,1994,78.6950252343187,
FIN,LFPR,25_64,PC_AGE,A,1995,79.402232625135,
FIN,LFPR,25_64,PC_AGE,A,1996,79.6336206896552,
FIN,LFPR,25_64,PC_AGE,A,1997,78.3279512020093,
FIN,LFPR,25_64,PC_AGE,A,1998,78.6814761734145,
FIN,LFPR,25_64,PC_AGE,A,1999,79.3066476054324,
FIN,LFPR,25_64,PC_AGE,A,2000,79.8217468805704,
FIN,LFPR,25_64,PC_AGE,A,2001,80.2416488983653,
FIN,LFPR,25_64,PC_AGE,A,2002,80.212389380531,
FIN,LFPR,25_64,PC_AGE,A,2003,79.8799858806918,
FIN,LFPR,25_64,PC_AGE,A,2004,79.6550510383668,
FIN,LFPR,25_64,PC_AGE,A,2005,80.098452883263,
FIN,LFPR,25_64,PC_AGE,A,2006,80.4210526315789,
FIN,LFPR,25_64,PC_AGE,A,2007,80.447708989157,
FIN,LFPR,25_64,PC_AGE,A,2008,80.9308787773532,
FIN,LFPR,25_64,PC_AGE,A,2009,80.4641496363006,
FIN,LFPR,25_64,PC_AGE,A,2010,80.0759668508287,
FIN,LFPR,25_64,PC_AGE,A,2011,80.3751302535603,
FIN,LFPR,25_64,PC_AGE,A,2012,80.614739783444,
FIN,LFPR,25_64,PC_AGE,A,2013,80.3997194950912,
FIN,LFPR,25_64,PC_AGE,A,2014,80.5633802816901,
FIN,LFPR,25_64,PC_AGE,A,2015,81.0028248587571,
FIN,LFPR,25_64,PC_AGE,A,2016,81.1125077198334,
FIN,LFPR,25_64,PC_AGE,A,2017,81.8370881702224,
FIN,LFPR,25_64,PC_AGE,A,2018,83.2284015444662,
FIN,LFPR,25_64,PC_AGE,A,2019,83.4562447494542,
FIN,LFPR,25_64,PC_AGE,A,2020,83.7491332961409,
FRA,LFPR,25_64,PC_AGE,A,1975,71.9251555846708,
FRA,LFPR,25_64,PC_AGE,A,1976,72.5363816936236,
FRA,LFPR,25_64,PC_AGE,A,1977,73.2873415690679,
FRA,LFPR,25_64,PC_AGE,A,1978,73.2935798052077,
FRA,LFPR,25_64,PC_AGE,A,1979,74.2790734320832,
FRA,LFPR,25_64,PC_AGE,A,1980,74.7713740903607,
FRA,LFPR,25_64,PC_AGE,A,1981,74.2994578911201,
FRA,LFPR,25_64,PC_AGE,A,1982,73.6106426831553,
FRA,LFPR,25_64,PC_AGE,A,1983,72.7587476979742,
FRA,LFPR,25_64,PC_AGE,A,1984,72.3483613977911,
FRA,LFPR,25_64,PC_AGE,A,1985,72.3376065315476,
FRA,LFPR,25_64,PC_AGE,A,1986,72.892144660574,
FRA,LFPR,25_64,PC_AGE,A,1987,72.9148996324569,
FRA,LFPR,25_64,PC_AGE,A,1988,73.2258064516129,
FRA,LFPR,25_64,PC_AGE,A,1989,73.5449367967773,
FRA,LFPR,25_64,PC_AGE,A,1990,73.7636038021766,
FRA,LFPR,25_64,PC_AGE,A,1991,74.0588918494227,
FRA,LFPR,25_64,PC_AGE,A,1992,74.4296256177646,
FRA,LFPR,25_64,PC_AGE,A,1993,74.9251622885204,
FRA,LFPR,25_64,PC_AGE,A,1994,75.3186094615333,
FRA,LFPR,25_64,PC_AGE,A,1995,75.6107262421691,
FRA,LFPR,25_64,PC_AGE,A,1996,76.3532669611657,
FRA,LFPR,25_64,PC_AGE,A,1997,76.1200863365819,
FRA,LFPR,25_64,PC_AGE,A,1998,76.2747138397503,
FRA,LFPR,25_64,PC_AGE,A,1999,76.6334584034157,
FRA,LFPR,25_64,PC_AGE,A,2000,76.5842250272314,
FRA,LFPR,25_64,PC_AGE,A,2001,76.5908005729747,
FRA,LFPR,25_64,PC_AGE,A,2002,76.8350147054173,
FRA,LFPR,25_64,PC_AGE,A,2003,77.1000282832092,
FRA,LFPR,25_64,PC_AGE,A,2004,77.1487422757631,
FRA,LFPR,25_64,PC_AGE,A,2005,77.0501438426084,
FRA,LFPR,25_64,PC_AGE,A,2006,76.8988020466313,
FRA,LFPR,25_64,PC_AGE,A,2007,76.7873948814475,
FRA,LFPR,25_64,PC_AGE,A,2008,76.8892105421868,
FRA,LFPR,25_64,PC_AGE,A,2009,77.031568839275,
FRA,LFPR,25_64,PC_AGE,A,2010,77.1854373861362,
FRA,LFPR,25_64,PC_AGE,A,2011,77.1676989042401,
FRA,LFPR,25_64,PC_AGE,A,2012,77.9684241882633,
FRA,LFPR,25_64,PC_AGE,A,2013,78.4598413928806,
FRA,LFPR,25_64,PC_AGE,A,2014,78.7511566128406,
FRA,LFPR,25_64,PC_AGE,A,2015,78.9033068229385,
FRA,LFPR,25_64,PC_AGE,A,2016,79.1569367103766,
FRA,LFPR,25_64,PC_AGE,A,2017,79.3337722973782,
FRA,LFPR,25_64,PC_AGE,A,2018,79.766408454933,
FRA,LFPR,25_64,PC_AGE,A,2019,79.7052281958307,
FRA,LFPR,25_64,PC_AGE,A,2020,79.3254317698062,
DEU,LFPR,25_64,PC_AGE,A,1970,66.5759989637977,
DEU,LFPR,25_64,PC_AGE,A,1971,66.5662162600045,
DEU,LFPR,25_64,PC_AGE,A,1972,67.0769230769231,
DEU,LFPR,25_64,PC_AGE,A,1973,67.9623885226832,
